Data Source,Language,Seed,Person ID/Name,Class,Image ID,Image File
BHSig260,Bengali,123,person_41,true,16,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_16.png
BHSig260,Bengali,123,person_41,true,14,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_14.png
BHSig260,Bengali,123,person_41,true,07,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_07.png
BHSig260,Bengali,123,person_41,true,12,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_12.png
BHSig260,Bengali,123,person_41,true,17,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_17.png
BHSig260,Bengali,123,person_41,true,19,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_19.png
BHSig260,Bengali,123,person_41,true,09,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_09.png
BHSig260,Bengali,123,person_41,true,15,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_15.png
BHSig260,Bengali,123,person_41,true,18,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_18.png
BHSig260,Bengali,123,person_41,true,23,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_23.png
BHSig260,Bengali,123,person_41,true,06,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_06.png
BHSig260,Bengali,123,person_41,true,13,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_13.png
BHSig260,Bengali,123,person_41,true,21,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_21.png
BHSig260,Bengali,123,person_41,true,05,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_05.png
BHSig260,Bengali,123,person_41,true,22,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_22.png
BHSig260,Bengali,123,person_41,true,24,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_24.png
BHSig260,Bengali,123,person_41,true,08,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_08.png
BHSig260,Bengali,123,person_41,true,20,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_20.png
BHSig260,Bengali,123,person_41,true,02,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_02.png
BHSig260,Bengali,123,person_41,true,10,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_10.png
BHSig260,Bengali,123,person_41,true,01,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_01.png
BHSig260,Bengali,123,person_41,true,03,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_03.png
BHSig260,Bengali,123,person_41,true,04,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_04.png
BHSig260,Bengali,123,person_41,true,11,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/true/BHSig260_Bengali_person_41_true_11.png
BHSig260,Bengali,123,person_41,forge,19,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_19.png
BHSig260,Bengali,123,person_41,forge,08,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_08.png
BHSig260,Bengali,123,person_41,forge,17,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_17.png
BHSig260,Bengali,123,person_41,forge,04,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_04.png
BHSig260,Bengali,123,person_41,forge,30,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_30.png
BHSig260,Bengali,123,person_41,forge,25,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_25.png
BHSig260,Bengali,123,person_41,forge,24,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_24.png
BHSig260,Bengali,123,person_41,forge,02,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_02.png
BHSig260,Bengali,123,person_41,forge,18,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_18.png
BHSig260,Bengali,123,person_41,forge,16,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_16.png
BHSig260,Bengali,123,person_41,forge,14,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_14.png
BHSig260,Bengali,123,person_41,forge,20,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_20.png
BHSig260,Bengali,123,person_41,forge,10,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_10.png
BHSig260,Bengali,123,person_41,forge,05,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_05.png
BHSig260,Bengali,123,person_41,forge,22,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_22.png
BHSig260,Bengali,123,person_41,forge,23,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_23.png
BHSig260,Bengali,123,person_41,forge,07,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_07.png
BHSig260,Bengali,123,person_41,forge,12,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_12.png
BHSig260,Bengali,123,person_41,forge,06,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_06.png
BHSig260,Bengali,123,person_41,forge,26,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_26.png
BHSig260,Bengali,123,person_41,forge,11,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_11.png
BHSig260,Bengali,123,person_41,forge,01,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_01.png
BHSig260,Bengali,123,person_41,forge,15,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_15.png
BHSig260,Bengali,123,person_41,forge,27,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_41/forge/BHSig260_Bengali_person_41_forge_27.png
BHSig260,Bengali,123,person_36,true,08,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_08.png
BHSig260,Bengali,123,person_36,true,09,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_09.png
BHSig260,Bengali,123,person_36,true,24,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_24.png
BHSig260,Bengali,123,person_36,true,20,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_20.png
BHSig260,Bengali,123,person_36,true,14,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_14.png
BHSig260,Bengali,123,person_36,true,13,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_13.png
BHSig260,Bengali,123,person_36,true,02,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_02.png
BHSig260,Bengali,123,person_36,true,21,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_21.png
BHSig260,Bengali,123,person_36,true,03,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_03.png
BHSig260,Bengali,123,person_36,true,22,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_22.png
BHSig260,Bengali,123,person_36,true,01,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_01.png
BHSig260,Bengali,123,person_36,true,17,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_17.png
BHSig260,Bengali,123,person_36,true,18,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_18.png
BHSig260,Bengali,123,person_36,true,15,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_15.png
BHSig260,Bengali,123,person_36,true,05,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_05.png
BHSig260,Bengali,123,person_36,true,19,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_19.png
BHSig260,Bengali,123,person_36,true,11,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_11.png
BHSig260,Bengali,123,person_36,true,06,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_06.png
BHSig260,Bengali,123,person_36,true,04,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_04.png
BHSig260,Bengali,123,person_36,true,23,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_23.png
BHSig260,Bengali,123,person_36,true,07,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_07.png
BHSig260,Bengali,123,person_36,true,16,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_16.png
BHSig260,Bengali,123,person_36,true,10,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_10.png
BHSig260,Bengali,123,person_36,true,12,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/true/BHSig260_Bengali_person_36_true_12.png
BHSig260,Bengali,123,person_36,forge,17,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/forge/BHSig260_Bengali_person_36_forge_17.png
BHSig260,Bengali,123,person_36,forge,23,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/forge/BHSig260_Bengali_person_36_forge_23.png
BHSig260,Bengali,123,person_36,forge,27,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/forge/BHSig260_Bengali_person_36_forge_27.png
BHSig260,Bengali,123,person_36,forge,21,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/forge/BHSig260_Bengali_person_36_forge_21.png
BHSig260,Bengali,123,person_36,forge,14,./sample_data/BHSig260_Dataset_Bengali/seed_123/person_36/forge/BHSig260_Bengali_person_36_forge_14.png
